from_stop_id,to_stop_id,transfer_type,min_transfer_time
1002838,1006407,2,28
1006407,1002838,2,28
1006405,1006404,2,20
1006403,1006402,2,42
1006399,1006398,2,66
1006397,1006396,2,25
1006395,1006394,2,48
1006393,1006392,2,18
1006391,1006390,2,38
1006389,1006388,2,20
1006386,1006385,2,13
1006384,1006383,2,63
1006380,1006379,2,14
1006378,1006377,2,55
1006376,1006375,2,15
1006374,1006373,2,87
1006372,1006371,2,62
1006370,1006369,2,29
1006368,1006367,2,20
1006476,1001991,2,40
1006476,1001496,2,66
1006481,1006480,2,33
1006479,1006478,2,29
1006477,1006475,2,24
1007618,1000959,2,41
1007618,1000368,2,84
1007618,1008668,2,66
1007614,1003162,2,24
1007614,1000368,2,99
1002068,1002067,2,20
1000118,1000119,2,14
1000116,1000117,2,25
1002653,1002654,2,17
1001471,1001472,2,22
1001851,1001852,2,19
1003378,1001012,2,102
1002452,1000684,2,41
1001078,1007620,2,116
1001078,1003434,2,38
1007620,1001078,2,116
1007620,1003245,2,40
1004048,1004047,2,18
1001179,1001178,2,12
1003158,1003157,2,44
1003158,1007613,2,47
1000931,1002194,2,40
1000505,1001842,2,87
1003159,1003160,2,40
1003826,1001067,2,27
1003516,1002097,2,118
1003516,1003138,2,112
1003516,1007619,2,28
1002097,1003516,2,118
1002097,1003138,2,13
1002288,1000007,2,35
1001317,1002098,2,115
1001336,1000198,2,11
1001336,1002191,2,127
1001336,1002289,2,124
1001636,1001635,2,25
1001636,1000192,2,142
1001636,1002584,2,122
1001555,1003331,2,119
1001555,1008344,2,126
1001555,1001167,2,31
1003331,1001555,2,119
1003331,1001166,2,41
1003331,1003330,2,41
1003331,1008344,2,20
1003331,1001167,2,142
1001166,1003331,2,41
1001166,1003330,2,21
1001166,1008344,2,45
1002592,1007547,2,38
1001874,1001892,2,109
1001874,1001728,2,121
1001874,1002356,2,28
1001892,1001874,2,109
1001892,1001728,2,24
1001892,1002356,2,130
1001444,1001445,2,20
1004263,1001708,2,39
1004263,1001445,2,140
1000479,1006472,2,36
1000479,1003526,2,110
1003973,1003974,2,23
1003973,1008342,2,141
1003973,1000848,2,113
1003973,1000847,2,117
1001052,1001051,2,39
1008379,1001638,2,140
1008379,1001949,2,29
1001638,1008379,2,140
1001638,1003654,2,106
1003638,1003639,2,56
1003638,1003654,2,119
1007512,1007513,2,99
1007512,1001456,2,133
1007512,1000265,2,27
1007513,1007512,2,99
1007513,1001456,2,39
1007513,1000265,2,87
1001255,1003801,2,95
1001255,1002869,2,129
1001255,1001256,2,36
1003801,1001255,2,95
1003801,1002869,2,47
1003801,1001256,2,118
1001457,1003164,2,20
1001457,1003655,2,123
1003118,1001696,2,139
1003118,1003117,2,96
1003118,1003360,2,101
1003118,1003655,2,117
1003118,1003337,2,97
1001696,1003118,2,139
1001696,1001697,2,43
1003361,1003362,2,23
1008656,1000408,2,116
1001321,1001322,2,19
